model_a,model_b,mean_diff_A_minus_B,p_value_conservative,holm_sig_unordered_pair
llama-3-3-70b-instruct,deepl,-1.5721069063459119,0.9014084507042254,False
llama-3-3-70b-instruct,gemini-3-pro,-3.042530161993844,0.7195902688860435,False
llama-3-3-70b-instruct,google-translate,-1.4281444890158512,0.7861715749039693,False
llama-3-3-70b-instruct,gpt-4,-1.179249797548566,0.9795134443021767,False
llama-3-3-70b-instruct,gpt-5-2,-1.8656706809997552,0.8873239436619719,False
llama-3-3-70b-instruct,meta-llama-3-1-405b-instruct,-0.2807765347617005,0.8809218950064021,False
llama-3-3-70b-instruct,meta-llama-3-1-8b-instruct,4.151517833982195,0.6017925736235595,False
meta-llama-3-1-405b-instruct,azure-translator,1.9132162843431746,0.9359795134443022,False
meta-llama-3-1-405b-instruct,deepl,-1.2913303715842115,0.9641485275288092,False
meta-llama-3-1-405b-instruct,gemini-3-pro,-2.7617536272321432,0.8706786171574904,False
meta-llama-3-1-405b-instruct,google-translate,-1.1473679542541508,0.9935979513444302,False
meta-llama-3-1-405b-instruct,gpt-4,-0.8984732627868656,0.9462227912932138,False
meta-llama-3-1-405b-instruct,gpt-5-2,-1.5848941462380546,0.8425096030729834,False
meta-llama-3-1-405b-instruct,llama-3-3-70b-instruct,0.2807765347617005,0.8873239436619719,False
meta-llama-3-1-405b-instruct,meta-llama-3-1-8b-instruct,4.432294368743896,0.4468629961587708,False
meta-llama-3-1-8b-instruct,azure-translator,-2.5190780844007215,0.9346991037131882,False
meta-llama-3-1-8b-instruct,deepl,-5.723624740328107,0.795134443021767,False
meta-llama-3-1-8b-instruct,gemini-3-pro,-7.19404799597604,0.998719590268886,False
meta-llama-3-1-8b-instruct,google-translate,-5.579662322998047,0.882202304737516,False
meta-llama-3-1-8b-instruct,gpt-4,-5.330767631530762,0.45966709346991036,False
meta-llama-3-1-8b-instruct,gpt-5-2,-6.017188514981951,0.646606914212548,False
meta-llama-3-1-8b-instruct,llama-3-3-70b-instruct,-4.151517833982195,0.6005121638924455,False
meta-llama-3-1-8b-instruct,meta-llama-3-1-405b-instruct,-4.432294368743896,0.46094750320102434,False
